ASSUMPTION  UNIVERSITY,,,,,
"VINCENT MARY SCHOOL OF ENGINEERING, SCIENCE, AND TECHNOLOGY",,,,,
Bachelor of Science Program in Computer Science (BSCS),,,,,
,,,Adm. no. 651-652,,
NAME ...........................................................................…...ADM.  NO. .....………………………..  (132 Credits),,,,,
NO.,COURSE NO.,COURSE TITLE,CREDITS,GRADE,REMARKS
GENERAL EDUCATIONAL COURSES ( 30 CREDITS ),,,,,
1,ELE1001,Communicative English I,3,,
2,ELE1002,Communicative English II,3,,
3,ELE2000,Academic English,3,,
4,ELE2001,Advanced Academic English,3,,
5,GE1403,Communication in Thai,3,,
,GE1405,Thai Language and Culture (Only for International students),,,
,GE1408,Thai Usage (For students who graduated from Inter Schools),,,
6,GE 2102,Human Heritage and Globalization,3,,
7,BBA 1001,Business Exploration,3,,
8,GE 2202,Ethics,3,,
9,GE 1302,Ecology and Sustainability,3,,
10,IBE 1122,Accounting for Entrepreneurs,3,,
CORE COURSES ( 18 CREDITS ),,,,,
1,MA 1200,Mathematics for Business,3,,
2,CSX 2003,Principles of Statistics,3,,
3,CSX 2006,Mathematics and Statistics for Data Science,3,,
4,CSX 2008,Mathematics Foundation for Computer Science,3,,
5,ITX 2005,Design Thinking,3,,
6,ITX 2007,Data Science,3,,
MAJOR COURSES ( 39 CREDITS ),,,,,
1,ITX 3002,Introduction to Information Technology,3,,
2,CSX 3010,Senior Project I,3,,
3,CSX 3011,Senior Project II,3,,
4,CSX 3001,Fundamentals of Computer Programming,3,,
5,CSX 3002,Object-Oriented Concepts and Programming,3,,
6,CSX 3003,Data Structures and Algorithms,3,,
7,CSX 3004,Programming Languages,3,,
8,CSX 3009,Algorithm Design,3,,
9,CSX 2009,Cloud Computing,3,,
10,CSX 3005,Computer Networks,3,,
11,CSX 3006,Database Systems,3,,
12,CSX 3008,Operating Systems,3,,
13,CSX 3007,Computer Architecture,3,,
MAJOR ELECTIVE COURSES GROUP 1 ( 15 CREDITS ) ,,,,,
Students are required to choose one concentration out of 2 concentrations and study 5 subjects,,,,,
Group 1(A): Software Engineering and Development,,,,,
1,ITX 3004,Information System Analysis and Design,3,,
2,ITX 3007,Software Engineering,3,,
3,ITX 4104,Software Testing,3,,
4,CSX 4107,Web Application Development,3,,
5,CSX 4109,Android Application Development,3,,
6,CSX 4110,Backend Application Development,3,,
7,CSX 4407,Enterprise Application Development,3,,
8,CSX 4180-4199,Selected Topic [in Software Engineering],3,,
Group 1(B): Informatics and Data Science,,,,,
1,CSX 4201,Artificial Intelligence Concepts,3,,
2,CSX 4203,Machine Learning,3,,
3,CSX 4207,Decision Support and Recommender Systems,3,,
4,CSX 4210,Natural Language Processing and Social Interactions,3,,
5,CSX 4211,Data Engineering,3,,
6,CSX 4212,Data Analytics,3,,
7,CSX 4213,Computer Vision,3,,
8,CSX 4280-4299,Selected Topic [in Data Science],3,,
MAJOR ELECTIVE COURSES GROUP 2 ( 18 CREDITS ) ,,,,,
1,CSX 4108,iOS Application Development,3,,
2,CSX 4202,Data Mining,3,,
3,CSX 4205,Big Data Analytics,3,,
4,CSX 4206,Data Warehousing and Business Intelligence,3,,
5,CSX 4208,Deep Learning,3,,
6,CSX 4306,Internet of Things,3,,
7,CSX 4501,Theory of Computation,3,,
8,CSX 4510,Neural Networks,3,,
9,CSX 4513,AR/VR Application Development,3,,
10,CSX 4514,Cross-platform Application Development,3,,
11,CSX 4515,Game Design and Development,3,,
12,CSX 4516,Reusability and Design Patterns,3,,
13,ITX 2004,UI/UX Design and Prototyping,3,,
14,ITX 3003,Business Systems,3,,
15,ITX 4212,Predictive Analytics,3,,
16,ITX 4213,Artificial Intelligence for Business,3,,
17,ITX 4502,Tech Startup,3,,
18,ITX 4509,Cybersecurity,3,,
19,ITX 4517,Software Configuration Management,3,,
20,ITX 4518,Blockchain and Digital Currencies,3,,
21,ITX 4519,Internetworking Workshop,3,,
22,CSX 4600-4699,Selected Topics,3,,
FREE ELECTIVE COURSES  ( 12 CREDITS ) - Check if the Subject is in Banned List,,,,,
1,,,3,,
2,,,3,,
3,,,3,,
4,,,3,,
,,,,,
,BG14031-8,Professional Ethics Seminar I-VIII (8 Satisfactory),-,,
